PRESSURE =     0.101325    MPa 
CELL VOLUME =  1483.099277 A^3 =  893.143252  CM^3/MOL
IRREDUCIBLE LATTICE PARAMETERS - LENGTH
11.83348        7.27269         17.23306        
IRREDUCIBLE LATTICE PARAMETERS - ANGLE

TEMPERATURE(K)    HELMOLTZ(KJ/MOL)       GIBBS(KJ/MOL)
0.00              -10801375.126693    -10801375.036195
20.00             -10801375.339114    -10801375.248617
40.00             -10801377.124952    -10801377.034454
60.00             -10801381.375906    -10801381.285409
80.00             -10801388.230229    -10801388.139731
100.00            -10801397.591439    -10801397.500941
120.00            -10801409.328288    -10801409.237790
140.00            -10801423.327256    -10801423.236758
160.00            -10801439.499710    -10801439.409213
180.00            -10801457.778225    -10801457.687727
200.00            -10801478.111449    -10801478.020951
220.00            -10801500.459676    -10801500.369178
240.00            -10801524.791415    -10801524.700917
260.00            -10801551.080814    -10801550.990316
280.00            -10801579.305758    -10801579.215260
300.00            -10801609.446459    -10801609.355961
END
