PRESSURE =     0.101325    MPa 
CELL VOLUME =  1512.175960 A^3 =  910.653639  CM^3/MOL
IRREDUCIBLE LATTICE PARAMETERS - LENGTH
11.87460        7.37265         17.27267        
IRREDUCIBLE LATTICE PARAMETERS - ANGLE

TEMPERATURE(K)    HELMOLTZ(KJ/MOL)       GIBBS(KJ/MOL)
0.00              -10801374.691300    -10801374.599028
20.00             -10801374.923361    -10801374.831089
40.00             -10801376.819061    -10801376.726789
60.00             -10801381.285972    -10801381.193700
80.00             -10801388.432118    -10801388.339846
100.00            -10801398.133791    -10801398.041519
120.00            -10801410.243056    -10801410.150784
140.00            -10801424.636569    -10801424.544297
160.00            -10801441.219736    -10801441.127464
180.00            -10801459.921348    -10801459.829076
200.00            -10801480.687535    -10801480.595263
220.00            -10801503.476840    -10801503.384568
240.00            -10801528.256499    -10801528.164227
260.00            -10801554.999704    -10801554.907432
280.00            -10801583.683594    -10801583.591322
300.00            -10801614.287784    -10801614.195512
END
