PRESSURE =     0.101325    MPa 
CELL VOLUME =  1497.635980 A^3 =  901.897459  CM^3/MOL
IRREDUCIBLE LATTICE PARAMETERS - LENGTH
11.85340        7.32294         17.25351        
IRREDUCIBLE LATTICE PARAMETERS - ANGLE

TEMPERATURE(K)    HELMOLTZ(KJ/MOL)       GIBBS(KJ/MOL)
0.00              -10801376.211491    -10801376.120106
20.00             -10801376.438925    -10801376.347540
40.00             -10801378.305550    -10801378.214165
60.00             -10801382.700782    -10801382.609398
80.00             -10801389.740905    -10801389.649520
100.00            -10801399.313415    -10801399.222030
120.00            -10801411.278041    -10801411.186657
140.00            -10801425.516294    -10801425.424909
160.00            -10801441.936706    -10801441.845321
180.00            -10801460.470149    -10801460.378764
200.00            -10801481.064171    -10801480.972786
220.00            -10801503.678294    -10801503.586909
240.00            -10801528.280443    -10801528.189058
260.00            -10801554.844301    -10801554.752916
280.00            -10801583.347360    -10801583.255976
300.00            -10801613.769495    -10801613.678110
END
