PRESSURE =     0.101325    MPa 
CELL VOLUME =  1468.585682 A^3 =  884.402961  CM^3/MOL
IRREDUCIBLE LATTICE PARAMETERS - LENGTH
11.81541        7.22171         17.21116        
IRREDUCIBLE LATTICE PARAMETERS - ANGLE

TEMPERATURE(K)    HELMOLTZ(KJ/MOL)       GIBBS(KJ/MOL)
0.00              -10801374.434517    -10801374.344905
20.00             -10801374.642928    -10801374.553316
40.00             -10801376.390716    -10801376.301104
60.00             -10801380.554381    -10801380.464769
80.00             -10801387.284455    -10801387.194843
100.00            -10801396.497157    -10801396.407544
120.00            -10801408.069495    -10801407.979883
140.00            -10801421.893011    -10801421.803399
160.00            -10801437.882233    -10801437.792621
180.00            -10801455.971785    -10801455.882173
200.00            -10801476.111689    -10801476.022077
220.00            -10801498.263187    -10801498.173575
240.00            -10801522.395458    -10801522.305846
260.00            -10801548.483137    -10801548.393525
280.00            -10801576.504471    -10801576.414859
300.00            -10801606.439945    -10801606.350333
END
