PRESSURE =     0.101325    MPa 
CELL VOLUME =  747.320432  A^3 =  450.046879  CM^3/MOL
IRREDUCIBLE LATTICE PARAMETERS - LENGTH
7.14454         9.22622         12.64043        
IRREDUCIBLE LATTICE PARAMETERS - ANGLE
116.24579       
TEMPERATURE(K)    HELMOLTZ(KJ/MOL)       GIBBS(KJ/MOL)
0.00              -5400696.235316      -5400696.189715
20.00             -5400696.276402      -5400696.230801
40.00             -5400696.851531      -5400696.805930
60.00             -5400698.482309      -5400698.436708
80.00             -5400701.302911      -5400701.257310
100.00            -5400705.289444      -5400705.243843
120.00            -5400710.386186      -5400710.340585
140.00            -5400716.541306      -5400716.495705
160.00            -5400723.713418      -5400723.667817
180.00            -5400731.870834      -5400731.825233
200.00            -5400740.989485      -5400740.943884
220.00            -5400751.050953      -5400751.005352
240.00            -5400762.040882      -5400761.995281
260.00            -5400773.947763      -5400773.902162
280.00            -5400786.762011      -5400786.716410
300.00            -5400800.475282      -5400800.429681
