PRESSURE =     0.101325    MPa 
CELL VOLUME =  778.638207  A^3 =  468.906884  CM^3/MOL
IRREDUCIBLE LATTICE PARAMETERS - LENGTH
7.22422         9.43875         12.79954        
IRREDUCIBLE LATTICE PARAMETERS - ANGLE
116.85591       
TEMPERATURE(K)    HELMOLTZ(KJ/MOL)       GIBBS(KJ/MOL)
0.00              -5400698.778875      -5400698.731363
20.00             -5400698.872911      -5400698.825399
40.00             -5400699.721615      -5400699.674103
60.00             -5400701.808512      -5400701.761000
80.00             -5400705.193376      -5400705.145864
100.00            -5400709.807685      -5400709.760173
120.00            -5400715.571863      -5400715.524351
140.00            -5400722.420998      -5400722.373486
160.00            -5400730.306175      -5400730.258663
180.00            -5400739.191133      -5400739.143621
200.00            -5400749.048863      -5400749.001351
220.00            -5400759.858940      -5400759.811428
240.00            -5400771.605563      -5400771.558051
260.00            -5400784.276128      -5400784.228616
280.00            -5400797.860188      -5400797.812676
300.00            -5400812.348701      -5400812.301189
