PRESSURE =     0.101325    MPa 
CELL VOLUME =  783.861961  A^3 =  472.052702  CM^3/MOL
IRREDUCIBLE LATTICE PARAMETERS - LENGTH
7.23792         9.47210         12.82624        
IRREDUCIBLE LATTICE PARAMETERS - ANGLE
116.94839       
TEMPERATURE(K)    HELMOLTZ(KJ/MOL)       GIBBS(KJ/MOL)
0.00              -5400698.019144      -5400697.971313
20.00             -5400698.092384      -5400698.044553
40.00             -5400698.876284      -5400698.828453
60.00             -5400700.884749      -5400700.836918
80.00             -5400704.188259      -5400704.140428
100.00            -5400708.721046      -5400708.673215
120.00            -5400714.404240      -5400714.356409
140.00            -5400721.173124      -5400721.125293
160.00            -5400728.978838      -5400728.931007
180.00            -5400737.785133      -5400737.737302
200.00            -5400747.564990      -5400747.517160
220.00            -5400758.297964      -5400758.250134
240.00            -5400769.968222      -5400769.920391
260.00            -5400782.563119      -5400782.515288
280.00            -5400796.072168      -5400796.024338
300.00            -5400810.486284      -5400810.438454
