PRESSURE =     0.101325    MPa 
CELL VOLUME =  736.872761  A^3 =  443.755144  CM^3/MOL
IRREDUCIBLE LATTICE PARAMETERS - LENGTH
7.11935         9.15303         12.59084        
IRREDUCIBLE LATTICE PARAMETERS - ANGLE
116.08853       
TEMPERATURE(K)    HELMOLTZ(KJ/MOL)       GIBBS(KJ/MOL)
0.00              -5400693.384507      -5400693.339544
20.00             -5400693.422991      -5400693.378028
40.00             -5400693.969591      -5400693.924628
60.00             -5400695.537082      -5400695.492119
80.00             -5400698.268029      -5400698.223066
100.00            -5400702.147327      -5400702.102364
120.00            -5400707.125094      -5400707.080130
140.00            -5400713.153059      -5400713.108095
160.00            -5400720.192011      -5400720.147048
180.00            -5400728.211628      -5400728.166664
200.00            -5400737.188736      -5400737.143773
220.00            -5400747.105536      -5400747.060572
240.00            -5400757.948122      -5400757.903158
260.00            -5400769.705327      -5400769.660363
280.00            -5400782.367839      -5400782.322875
300.00            -5400795.927538      -5400795.882575
