PRESSURE =     0.101325    MPa 
CELL VOLUME =  789.082273  A^3 =  475.196447  CM^3/MOL
IRREDUCIBLE LATTICE PARAMETERS - LENGTH
7.25352         9.50307         12.85470        
IRREDUCIBLE LATTICE PARAMETERS - ANGLE
117.06031       
TEMPERATURE(K)    HELMOLTZ(KJ/MOL)       GIBBS(KJ/MOL)
0.00              -5400697.560641      -5400697.512492
20.00             -5400697.627090      -5400697.578941
40.00             -5400698.406840      -5400698.358691
60.00             -5400700.427733      -5400700.379584
80.00             -5400703.754656      -5400703.706507
100.00            -5400708.317562      -5400708.269413
120.00            -5400714.035212      -5400713.987062
140.00            -5400720.841584      -5400720.793435
160.00            -5400728.687075      -5400728.638926
180.00            -5400737.534990      -5400737.486841
200.00            -5400747.358023      -5400747.309874
220.00            -5400758.135529      -5400758.087380
240.00            -5400769.851526      -5400769.803377
260.00            -5400782.493252      -5400782.445103
280.00            -5400796.050122      -5400796.001972
300.00            -5400810.512962      -5400810.464813
