PRESSURE =     0.101325    MPa 
CELL VOLUME =  799.523552  A^3 =  481.484333  CM^3/MOL
IRREDUCIBLE LATTICE PARAMETERS - LENGTH
7.28273         9.56635         12.91139        
IRREDUCIBLE LATTICE PARAMETERS - ANGLE
117.27373       
TEMPERATURE(K)    HELMOLTZ(KJ/MOL)       GIBBS(KJ/MOL)
0.00              -5400695.585408      -5400695.536622
20.00             -5400695.651664      -5400695.602878
40.00             -5400696.443831      -5400696.395045
60.00             -5400698.490807      -5400698.442020
80.00             -5400701.850290      -5400701.801503
100.00            -5400706.449430      -5400706.400643
120.00            -5400712.205815      -5400712.157029
140.00            -5400719.052863      -5400719.004076
160.00            -5400726.940681      -5400726.891895
180.00            -5400735.832414      -5400735.783628
200.00            -5400745.700649      -5400745.651863
220.00            -5400756.524650      -5400756.475864
240.00            -5400768.288348      -5400768.239562
260.00            -5400780.978895      -5400780.930108
280.00            -5400794.585618      -5400794.536832
300.00            -5400809.099264      -5400809.050477
