PRESSURE =     0.101325    MPa 
CELL VOLUME =  757.762367  A^3 =  456.335159  CM^3/MOL
IRREDUCIBLE LATTICE PARAMETERS - LENGTH
7.17155         9.29244         12.69804        
IRREDUCIBLE LATTICE PARAMETERS - ANGLE
116.43038       
TEMPERATURE(K)    HELMOLTZ(KJ/MOL)       GIBBS(KJ/MOL)
0.00              -5400698.081808      -5400698.035570
20.00             -5400698.126887      -5400698.080649
40.00             -5400698.742382      -5400698.696144
60.00             -5400700.456264      -5400700.410026
80.00             -5400703.388304      -5400703.342066
100.00            -5400707.503919      -5400707.457681
120.00            -5400712.741217      -5400712.694978
140.00            -5400719.044855      -5400718.998617
160.00            -5400726.371392      -5400726.325154
180.00            -5400734.687876      -5400734.641637
200.00            -5400743.969414      -5400743.923175
220.00            -5400754.197017      -5400754.150778
240.00            -5400765.355905      -5400765.309667
260.00            -5400777.434238      -5400777.388000
280.00            -5400790.422161      -5400790.375922
300.00            -5400804.311103      -5400804.264865
