PRESSURE =     0.101325    MPa 
CELL VOLUME =  1439.499986 A^3 =  866.887145  CM^3/MOL
IRREDUCIBLE LATTICE PARAMETERS - LENGTH
11.77390        7.12394         17.16213        
IRREDUCIBLE LATTICE PARAMETERS - ANGLE

TEMPERATURE(K)    HELMOLTZ(KJ/MOL)       GIBBS(KJ/MOL)
0.00              -10801369.142301    -10801369.054463
20.00             -10801369.322008    -10801369.234171
40.00             -10801370.895016    -10801370.807178
60.00             -10801374.739865    -10801374.652027
80.00             -10801381.055346    -10801380.967508
100.00            -10801389.793159    -10801389.705321
120.00            -10801400.851293    -10801400.763456
140.00            -10801414.133447    -10801414.045609
160.00            -10801429.561411    -10801429.473573
180.00            -10801447.074354    -10801446.986517
200.00            -10801466.625296    -10801466.537459
220.00            -10801488.177564    -10801488.089727
240.00            -10801511.701863    -10801511.614025
260.00            -10801537.173996    -10801537.086158
280.00            -10801564.573134    -10801564.485296
300.00            -10801593.880517    -10801593.792680
END
