PRESSURE =     0.101325    MPa 
CELL VOLUME =  768.199386  A^3 =  462.620479  CM^3/MOL
IRREDUCIBLE LATTICE PARAMETERS - LENGTH
7.19648         9.36417         12.75043        
IRREDUCIBLE LATTICE PARAMETERS - ANGLE
116.61385       
TEMPERATURE(K)    HELMOLTZ(KJ/MOL)       GIBBS(KJ/MOL)
0.00              -5400698.988334      -5400698.941459
20.00             -5400699.051080      -5400699.004205
40.00             -5400699.765814      -5400699.718939
60.00             -5400701.644836      -5400701.597961
80.00             -5400704.780334      -5400704.733459
100.00            -5400709.121625      -5400709.074750
120.00            -5400714.598322      -5400714.551447
140.00            -5400721.150460      -5400721.103585
160.00            -5400728.731937      -5400728.685062
180.00            -5400737.308194      -5400737.261319
200.00            -5400746.853305      -5400746.806430
220.00            -5400757.347585      -5400757.300710
240.00            -5400768.775756      -5400768.728881
260.00            -5400781.125606      -5400781.078731
280.00            -5400794.386993      -5400794.340118
300.00            -5400808.551117      -5400808.504242
