PRESSURE =     0.101325    MPa 
CELL VOLUME =  762.979729  A^3 =  459.477128  CM^3/MOL
IRREDUCIBLE LATTICE PARAMETERS - LENGTH
7.18337         9.32907         12.72506        
IRREDUCIBLE LATTICE PARAMETERS - ANGLE
116.52773       
TEMPERATURE(K)    HELMOLTZ(KJ/MOL)       GIBBS(KJ/MOL)
0.00              -5400698.515143      -5400698.468587
20.00             -5400698.561074      -5400698.514518
40.00             -5400699.193349      -5400699.146792
60.00             -5400700.945061      -5400700.898504
80.00             -5400703.928744      -5400703.882188
100.00            -5400708.104402      -5400708.057846
120.00            -5400713.407051      -5400713.360495
140.00            -5400719.779602      -5400719.733045
160.00            -5400727.177585      -5400727.131028
180.00            -5400735.567421      -5400735.520864
200.00            -5400744.923816      -5400744.877259
220.00            -5400755.227506      -5400755.180949
240.00            -5400766.463519      -5400766.416963
260.00            -5400778.619870      -5400778.573313
280.00            -5400791.686593      -5400791.640036
300.00            -5400805.655029      -5400805.608473
