PRESSURE =     0.101325    MPa 
CELL VOLUME =  794.308649  A^3 =  478.343844  CM^3/MOL
IRREDUCIBLE LATTICE PARAMETERS - LENGTH
7.26830         9.53438         12.88390        
IRREDUCIBLE LATTICE PARAMETERS - ANGLE
117.17137       
TEMPERATURE(K)    HELMOLTZ(KJ/MOL)       GIBBS(KJ/MOL)
0.00              -5400696.528544      -5400696.480076
20.00             -5400696.591738      -5400696.543270
40.00             -5400697.362341      -5400697.313873
60.00             -5400699.370982      -5400699.322514
80.00             -5400702.681913      -5400702.633445
100.00            -5400707.226343      -5400707.177875
120.00            -5400712.924118      -5400712.875650
140.00            -5400719.709910      -5400719.661441
160.00            -5400727.534550      -5400727.486082
180.00            -5400736.361619      -5400736.313151
200.00            -5400746.163983      -5400746.115515
220.00            -5400756.921102      -5400756.872634
240.00            -5400768.617053      -5400768.568585
260.00            -5400781.239103      -5400781.190635
280.00            -5400794.776672      -5400794.728203
300.00            -5400809.220584      -5400809.172116
