PRESSURE =     0.101325    MPa 
CELL VOLUME =  731.640813  A^3 =  440.604392  CM^3/MOL
IRREDUCIBLE LATTICE PARAMETERS - LENGTH
7.10620         9.11767         12.56347        
IRREDUCIBLE LATTICE PARAMETERS - ANGLE
115.99808       
TEMPERATURE(K)    HELMOLTZ(KJ/MOL)       GIBBS(KJ/MOL)
0.00              -5400691.528986      -5400691.484342
20.00             -5400691.565402      -5400691.520757
40.00             -5400692.093755      -5400692.049111
60.00             -5400693.622571      -5400693.577927
80.00             -5400696.300241      -5400696.255597
100.00            -5400700.116804      -5400700.072160
120.00            -5400705.025535      -5400704.980891
140.00            -5400710.980019      -5400710.935375
160.00            -5400717.942152      -5400717.897507
180.00            -5400725.882300      -5400725.837656
200.00            -5400734.777743      -5400734.733098
220.00            -5400744.610994      -5400744.566350
240.00            -5400755.368383      -5400755.323739
260.00            -5400767.038926      -5400766.994281
280.00            -5400779.613462      -5400779.568817
300.00            -5400793.083998      -5400793.039354
