PRESSURE =     0.101325    MPa 
CELL VOLUME =  752.545660  A^3 =  453.193585  CM^3/MOL
IRREDUCIBLE LATTICE PARAMETERS - LENGTH
7.15809         9.25973         12.66909        
IRREDUCIBLE LATTICE PARAMETERS - ANGLE
116.34044       
TEMPERATURE(K)    HELMOLTZ(KJ/MOL)       GIBBS(KJ/MOL)
0.00              -5400697.164443      -5400697.118523
20.00             -5400697.207455      -5400697.161536
40.00             -5400697.801802      -5400697.755882
60.00             -5400699.472712      -5400699.426792
80.00             -5400702.347583      -5400702.301663
100.00            -5400706.397235      -5400706.351316
120.00            -5400711.562828      -5400711.516908
140.00            -5400717.790723      -5400717.744803
160.00            -5400725.038464      -5400724.992544
180.00            -5400733.273696      -5400733.227776
200.00            -5400742.471918      -5400742.425998
220.00            -5400752.614413      -5400752.568493
240.00            -5400763.686611      -5400763.640691
260.00            -5400775.676837      -5400775.630917
280.00            -5400788.575378      -5400788.529458
300.00            -5400802.373787      -5400802.327867
