PRESSURE =     0.101325    MPa 
CELL VOLUME =  1424.945912 A^3 =  858.122477  CM^3/MOL
IRREDUCIBLE LATTICE PARAMETERS - LENGTH
11.75519        7.07471         17.13406        
IRREDUCIBLE LATTICE PARAMETERS - ANGLE

TEMPERATURE(K)    HELMOLTZ(KJ/MOL)       GIBBS(KJ/MOL)
0.00              -10801364.861541    -10801364.774592
20.00             -10801365.034962    -10801364.948012
40.00             -10801366.554947    -10801366.467998
60.00             -10801370.288124    -10801370.201175
80.00             -10801376.448087    -10801376.361138
100.00            -10801385.001124    -10801384.914175
120.00            -10801395.854823    -10801395.767874
140.00            -10801408.918785    -10801408.831835
160.00            -10801424.118481    -10801424.031531
180.00            -10801441.395454    -10801441.308505
200.00            -10801460.704319    -10801460.617370
220.00            -10801482.009522    -10801481.922572
240.00            -10801505.282578    -10801505.195629
260.00            -10801530.499905    -10801530.412955
280.00            -10801557.641148    -10801557.554199
300.00            -10801586.687928    -10801586.600979
END
